timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2025/04/25 18:17:26.236, 0 %, 0 %, 46
2025/04/25 18:17:31.236, 0 %, 0 %, 46
2025/04/25 18:17:36.236, 0 %, 0 %, 46
2025/04/25 18:17:41.237, 0 %, 0 %, 46
2025/04/25 18:17:46.237, 0 %, 0 %, 46
2025/04/25 18:17:51.238, 0 %, 0 %, 46
2025/04/25 18:17:56.238, 0 %, 0 %, 46
2025/04/25 18:18:01.239, 0 %, 0 %, 46
2025/04/25 18:18:06.239, 0 %, 0 %, 46
2025/04/25 18:18:11.240, 0 %, 0 %, 46
2025/04/25 18:18:16.240, 0 %, 0 %, 46
2025/04/25 18:18:21.240, 0 %, 0 %, 46
2025/04/25 18:18:26.241, 0 %, 0 %, 46
2025/04/25 18:18:31.241, 0 %, 0 %, 46
2025/04/25 18:18:36.242, 0 %, 0 %, 46
2025/04/25 18:18:41.242, 0 %, 0 %, 46
2025/04/25 18:18:46.243, 0 %, 0 %, 46
2025/04/25 18:18:51.243, 0 %, 0 %, 46
2025/04/25 18:18:56.243, 0 %, 0 %, 46
2025/04/25 18:19:01.244, 0 %, 0 %, 46
2025/04/25 18:19:06.244, 0 %, 0 %, 46
2025/04/25 18:19:11.245, 0 %, 0 %, 46
2025/04/25 18:19:16.245, 0 %, 0 %, 46
2025/04/25 18:19:21.246, 0 %, 0 %, 46
2025/04/25 18:19:26.246, 0 %, 0 %, 46
2025/04/25 18:19:31.247, 0 %, 0 %, 46
2025/04/25 18:19:36.247, 0 %, 0 %, 46
2025/04/25 18:19:41.248, 0 %, 0 %, 46
2025/04/25 18:19:46.248, 0 %, 0 %, 46
2025/04/25 18:19:51.248, 0 %, 0 %, 46
2025/04/25 18:19:56.249, 0 %, 0 %, 46
2025/04/25 18:20:01.249, 0 %, 0 %, 46
2025/04/25 18:20:06.250, 0 %, 0 %, 46
2025/04/25 18:20:11.250, 0 %, 0 %, 46
