timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2025/05/15 14:38:10.842, 0 %, 0 %, 43
2025/05/15 14:38:15.842, 0 %, 0 %, 43
2025/05/15 14:38:20.843, 0 %, 0 %, 43
2025/05/15 14:38:25.843, 0 %, 0 %, 43
2025/05/15 14:38:30.843, 0 %, 0 %, 43
2025/05/15 14:38:35.844, 0 %, 0 %, 43
2025/05/15 14:38:40.844, 0 %, 0 %, 43
2025/05/15 14:38:45.845, 0 %, 0 %, 43
2025/05/15 14:38:50.845, 0 %, 0 %, 43
2025/05/15 14:38:55.846, 0 %, 0 %, 43
2025/05/15 14:39:00.846, 0 %, 0 %, 43
2025/05/15 14:39:05.846, 0 %, 0 %, 43
2025/05/15 14:39:10.847, 0 %, 0 %, 43
2025/05/15 14:39:15.847, 0 %, 0 %, 43
2025/05/15 14:39:20.848, 0 %, 0 %, 43
2025/05/15 14:39:25.848, 0 %, 0 %, 43
2025/05/15 14:39:30.849, 0 %, 0 %, 43
2025/05/15 14:39:35.849, 0 %, 0 %, 43
2025/05/15 14:39:40.850, 0 %, 0 %, 43
2025/05/15 14:39:45.850, 0 %, 0 %, 43
2025/05/15 14:39:50.850, 0 %, 0 %, 43
2025/05/15 14:39:55.851, 0 %, 0 %, 43
2025/05/15 14:40:00.851, 0 %, 0 %, 43
2025/05/15 14:40:05.852, 0 %, 0 %, 43
2025/05/15 14:40:10.852, 0 %, 0 %, 43
2025/05/15 14:40:15.853, 0 %, 0 %, 43
2025/05/15 14:40:20.853, 0 %, 0 %, 43
2025/05/15 14:40:25.854, 0 %, 0 %, 43
2025/05/15 14:40:30.854, 0 %, 0 %, 43
2025/05/15 14:40:35.855, 0 %, 0 %, 43
2025/05/15 14:40:40.855, 0 %, 0 %, 43
2025/05/15 14:40:45.856, 0 %, 0 %, 43
2025/05/15 14:40:50.856, 0 %, 0 %, 43
2025/05/15 14:40:55.857, 0 %, 0 %, 43
2025/05/15 14:41:00.857, 0 %, 0 %, 43
2025/05/15 14:41:05.858, 0 %, 0 %, 43
2025/05/15 14:41:10.858, 0 %, 0 %, 43
2025/05/15 14:41:15.859, 0 %, 0 %, 43
2025/05/15 14:41:20.859, 0 %, 0 %, 43
2025/05/15 14:41:25.859, 0 %, 0 %, 43
2025/05/15 14:41:30.860, 0 %, 0 %, 43
2025/05/15 14:41:35.860, 0 %, 0 %, 43
2025/05/15 14:41:40.861, 0 %, 0 %, 43
2025/05/15 14:41:45.861, 0 %, 0 %, 43
2025/05/15 14:41:50.862, 0 %, 0 %, 43
2025/05/15 14:41:55.862, 0 %, 0 %, 43
2025/05/15 14:42:00.863, 0 %, 0 %, 43
2025/05/15 14:42:05.863, 0 %, 0 %, 43
2025/05/15 14:42:10.864, 0 %, 0 %, 43
2025/05/15 14:42:15.864, 0 %, 0 %, 43
2025/05/15 14:42:20.865, 0 %, 0 %, 43
2025/05/15 14:42:25.865, 0 %, 0 %, 43
2025/05/15 14:42:30.866, 0 %, 0 %, 43
2025/05/15 14:42:35.866, 0 %, 0 %, 43
2025/05/15 14:42:40.866, 0 %, 0 %, 43
2025/05/15 14:42:45.867, 0 %, 0 %, 43
2025/05/15 14:42:50.867, 0 %, 0 %, 43
2025/05/15 14:42:55.868, 0 %, 0 %, 43
2025/05/15 14:43:00.868, 0 %, 0 %, 43
2025/05/15 14:43:05.869, 0 %, 0 %, 43
2025/05/15 14:43:10.869, 0 %, 0 %, 43
2025/05/15 14:43:15.870, 0 %, 0 %, 43
2025/05/15 14:43:20.870, 0 %, 0 %, 43
2025/05/15 14:43:25.871, 0 %, 0 %, 43
2025/05/15 14:43:30.871, 0 %, 0 %, 43
2025/05/15 14:43:35.872, 0 %, 0 %, 43
2025/05/15 14:43:40.872, 0 %, 0 %, 43
2025/05/15 14:43:45.873, 0 %, 0 %, 43
2025/05/15 14:43:50.873, 0 %, 0 %, 43
2025/05/15 14:43:55.874, 0 %, 0 %, 44
2025/05/15 14:44:00.874, 0 %, 0 %, 44
2025/05/15 14:44:05.875, 0 %, 0 %, 44
2025/05/15 14:44:10.875, 0 %, 0 %, 44
2025/05/15 14:44:15.876, 0 %, 0 %, 44
2025/05/15 14:44:20.876, 0 %, 0 %, 44
2025/05/15 14:44:25.877, 0 %, 0 %, 44
2025/05/15 14:44:30.877, 0 %, 0 %, 44
2025/05/15 14:44:35.878, 0 %, 0 %, 44
2025/05/15 14:44:40.878, 0 %, 0 %, 44
2025/05/15 14:44:45.879, 0 %, 0 %, 44
2025/05/15 14:44:50.879, 0 %, 0 %, 44
2025/05/15 14:44:55.880, 0 %, 0 %, 44
2025/05/15 14:45:00.880, 0 %, 0 %, 44
2025/05/15 14:45:05.881, 0 %, 0 %, 44
2025/05/15 14:45:10.881, 0 %, 0 %, 44
2025/05/15 14:45:15.882, 0 %, 0 %, 44
2025/05/15 14:45:20.882, 0 %, 0 %, 44
2025/05/15 14:45:25.883, 0 %, 0 %, 44
2025/05/15 14:45:30.883, 0 %, 0 %, 44
2025/05/15 14:45:35.884, 0 %, 0 %, 44
2025/05/15 14:45:40.884, 0 %, 0 %, 44
2025/05/15 14:45:45.884, 0 %, 0 %, 44
2025/05/15 14:45:50.885, 0 %, 0 %, 44
2025/05/15 14:45:55.885, 0 %, 0 %, 44
2025/05/15 14:46:00.886, 0 %, 0 %, 44
2025/05/15 14:46:05.886, 0 %, 0 %, 44
2025/05/15 14:46:10.887, 0 %, 0 %, 44
2025/05/15 14:46:15.887, 0 %, 0 %, 44
2025/05/15 14:46:20.888, 0 %, 0 %, 44
2025/05/15 14:46:25.888, 0 %, 0 %, 44
2025/05/15 14:46:30.889, 0 %, 0 %, 44
2025/05/15 14:46:35.890, 0 %, 0 %, 44
2025/05/15 14:46:40.890, 0 %, 0 %, 44
2025/05/15 14:46:45.891, 0 %, 0 %, 44
2025/05/15 14:46:50.891, 0 %, 0 %, 44
2025/05/15 14:46:55.891, 0 %, 0 %, 44
2025/05/15 14:47:00.892, 0 %, 0 %, 44
2025/05/15 14:47:05.893, 0 %, 0 %, 44
2025/05/15 14:47:10.893, 0 %, 0 %, 44
2025/05/15 14:47:15.893, 0 %, 0 %, 44
2025/05/15 14:47:20.894, 0 %, 0 %, 44
2025/05/15 14:47:25.894, 0 %, 0 %, 44
2025/05/15 14:47:30.895, 0 %, 0 %, 44
2025/05/15 14:47:35.896, 0 %, 0 %, 44
2025/05/15 14:47:40.896, 0 %, 0 %, 44
2025/05/15 14:47:45.897, 0 %, 0 %, 44
2025/05/15 14:47:50.897, 0 %, 0 %, 44
2025/05/15 14:47:55.897, 0 %, 0 %, 44
2025/05/15 14:48:00.898, 0 %, 0 %, 44
2025/05/15 14:48:05.899, 0 %, 0 %, 44
2025/05/15 14:48:10.899, 0 %, 0 %, 44
2025/05/15 14:48:15.900, 0 %, 0 %, 44
2025/05/15 14:48:20.900, 0 %, 0 %, 44
2025/05/15 14:48:25.900, 0 %, 0 %, 44
2025/05/15 14:48:30.901, 0 %, 0 %, 44
2025/05/15 14:48:35.901, 0 %, 0 %, 44
2025/05/15 14:48:40.902, 0 %, 0 %, 44
2025/05/15 14:48:45.902, 0 %, 0 %, 44
2025/05/15 14:48:50.903, 0 %, 0 %, 44
2025/05/15 14:48:55.903, 0 %, 0 %, 44
2025/05/15 14:49:00.904, 0 %, 0 %, 44
2025/05/15 14:49:05.904, 0 %, 0 %, 44
2025/05/15 14:49:10.905, 0 %, 0 %, 44
2025/05/15 14:49:15.905, 0 %, 0 %, 44
2025/05/15 14:49:20.906, 0 %, 0 %, 44
2025/05/15 14:49:25.906, 0 %, 0 %, 44
2025/05/15 14:49:30.907, 0 %, 0 %, 44
2025/05/15 14:49:35.907, 0 %, 0 %, 44
2025/05/15 14:49:40.908, 0 %, 0 %, 44
2025/05/15 14:49:45.908, 0 %, 0 %, 44
2025/05/15 14:49:50.908, 0 %, 0 %, 44
2025/05/15 14:49:55.909, 0 %, 0 %, 44
2025/05/15 14:50:00.909, 0 %, 0 %, 44
2025/05/15 14:50:05.910, 0 %, 0 %, 44
2025/05/15 14:50:10.910, 0 %, 0 %, 44
2025/05/15 14:50:15.911, 0 %, 0 %, 44
2025/05/15 14:50:20.911, 0 %, 0 %, 44
2025/05/15 14:50:25.912, 0 %, 0 %, 44
2025/05/15 14:50:30.912, 0 %, 0 %, 44
