timestamp,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
2025-08-31T23:41:30.559614,0.0,84242.0,11107.0,47.0,131.147,532048740305.0
2025-08-31T23:41:30.658054,0.0,84242.0,11107.0,47.0,131.105,532048753398.0
2025-08-31T23:41:30.757865,0.0,84242.0,11107.0,47.0,131.158,532048766524.0
2025-08-31T23:41:30.857909,0.0,84242.0,11107.0,47.0,131.154,532048779626.0
2025-08-31T23:41:30.958008,0.0,84242.0,11107.0,47.0,131.145,532048792756.0
2025-08-31T23:41:31.057755,0.0,84242.0,11107.0,47.0,131.189,532048805838.0
2025-08-31T23:41:31.158031,0.0,84242.0,11107.0,47.0,131.186,532048818965.0
2025-08-31T23:41:31.258062,0.0,84242.0,11107.0,47.0,131.223,532048832074.0
2025-08-31T23:41:31.358059,0.0,84242.0,11107.0,47.0,131.17,532048845204.0
2025-08-31T23:41:31.457977,0.0,84242.0,11107.0,47.0,131.205,532048858288.0
2025-08-31T23:41:31.558049,0.0,84242.0,11107.0,47.0,131.205,532048858288.0
2025-08-31T23:41:31.658116,0.0,84242.0,11107.0,47.0,131.195,532048871416.0
2025-08-31T23:41:31.757884,0.0,84242.0,11107.0,47.0,131.226,532048884524.0
2025-08-31T23:41:31.857444,0.0,84242.0,11107.0,47.0,131.165,532048897654.0
2025-08-31T23:41:31.958079,0.0,84242.0,11107.0,47.0,131.142,532048910717.0
2025-08-31T23:41:32.057665,0.0,84242.0,11107.0,47.0,131.152,532048936921.0
2025-08-31T23:41:32.158021,0.0,84242.0,11107.0,47.0,131.125,532048950015.0
2025-08-31T23:41:32.258055,0.0,84242.0,11107.0,47.0,131.138,532048963134.0
2025-08-31T23:41:32.358111,0.0,84242.0,11107.0,47.0,131.074,532048976206.0
2025-08-31T23:41:32.458090,0.0,84242.0,11107.0,47.0,131.103,532048989332.0
2025-08-31T23:41:32.558092,0.0,84242.0,11107.0,47.0,131.052,532049002415.0
2025-08-31T23:41:32.658053,0.0,84242.0,11107.0,47.0,131.076,532049015532.0
