timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2025/08/05 17:35:30.194, 0 %, 0 %, 46
2025/08/05 17:35:35.194, 0 %, 0 %, 46
2025/08/05 17:35:40.195, 0 %, 0 %, 46
2025/08/05 17:35:45.195, 0 %, 0 %, 46
2025/08/05 17:35:50.196, 0 %, 0 %, 46
2025/08/05 17:35:55.196, 0 %, 0 %, 46
2025/08/05 17:36:00.197, 0 %, 0 %, 46
2025/08/05 17:36:05.197, 0 %, 0 %, 46
2025/08/05 17:36:10.197, 0 %, 0 %, 46
2025/08/05 17:36:15.198, 0 %, 0 %, 46
2025/08/05 17:36:20.198, 0 %, 0 %, 46
2025/08/05 17:36:25.199, 0 %, 0 %, 46
2025/08/05 17:36:30.199, 0 %, 0 %, 46
2025/08/05 17:36:35.200, 0 %, 0 %, 46
2025/08/05 17:36:40.200, 0 %, 0 %, 46
2025/08/05 17:36:45.201, 0 %, 0 %, 46
2025/08/05 17:36:50.201, 0 %, 0 %, 46
2025/08/05 17:36:55.201, 0 %, 0 %, 46
2025/08/05 17:37:00.202, 0 %, 0 %, 46
2025/08/05 17:37:05.202, 0 %, 0 %, 46
2025/08/05 17:37:10.203, 0 %, 0 %, 46
2025/08/05 17:37:15.203, 0 %, 0 %, 46
2025/08/05 17:37:20.204, 0 %, 0 %, 46
2025/08/05 17:37:25.204, 0 %, 0 %, 46
2025/08/05 17:37:30.205, 0 %, 0 %, 46
2025/08/05 17:37:35.205, 0 %, 0 %, 46
2025/08/05 17:37:40.206, 0 %, 0 %, 46
2025/08/05 17:37:45.206, 0 %, 0 %, 46
2025/08/05 17:37:50.207, 0 %, 0 %, 46
2025/08/05 17:37:55.207, 0 %, 0 %, 46
2025/08/05 17:38:00.208, 0 %, 0 %, 46
2025/08/05 17:38:05.208, 0 %, 0 %, 46
2025/08/05 17:38:10.209, 0 %, 0 %, 46
2025/08/05 17:38:15.209, 0 %, 0 %, 46
2025/08/05 17:38:20.209, 0 %, 0 %, 46
2025/08/05 17:38:25.210, 0 %, 0 %, 46
2025/08/05 17:38:30.210, 0 %, 0 %, 46
2025/08/05 17:38:35.211, 0 %, 0 %, 46
2025/08/05 17:38:40.211, 0 %, 0 %, 46
2025/08/05 17:38:45.212, 0 %, 0 %, 46
2025/08/05 17:38:50.212, 0 %, 0 %, 46
2025/08/05 17:38:55.213, 0 %, 0 %, 46
2025/08/05 17:39:00.213, 0 %, 0 %, 46
2025/08/05 17:39:05.213, 0 %, 0 %, 46
2025/08/05 17:39:10.214, 0 %, 0 %, 47
2025/08/05 17:39:15.214, 0 %, 0 %, 47
2025/08/05 17:39:20.215, 0 %, 0 %, 47
2025/08/05 17:39:25.215, 0 %, 0 %, 46
